Work_type	with_coord	N_consultations	JM_expect	TK_expect	reconcile	N_formal
vegetation management - fire - wui	FALSE	8	NA	0.5	0.5	6
vegetation management - fire - wui	TRUE	0	NA	0.5	0.5	0
vegetation management - mechanical	FALSE	44	0.5	0	0.5	3
vegetation management - mechanical	TRUE	15	0.5	0	0.5	3
vegetation management - mechanical - forest	FALSE	61	1	0	0.5	15
vegetation management - mechanical - forest	TRUE	43	1	0	0.5	2
vegetation management - mechanical - invasive plant control	FALSE	8	0.5	0	0.5	2
vegetation management - mechanical - invasive plant control	TRUE	7	0.5	0	0.5	0
vegetation management - mechanical - other	FALSE	5	0.5	0	0.5	1
vegetation management - mechanical - other	TRUE	2	0.5	0	0.5	0
vegetation management - mechanical - wui	FALSE	4	NA	0	0.5	1
vegetation management - mechanical - wui	TRUE	0	NA	0	0.5	0
vegetation management - other	FALSE	25	0.5	NA	NA	4
vegetation management - other	TRUE	9	0.5	NA	NA	1
vegetation management - other - forest	FALSE	17	1	NA	NA	3
vegetation management - other - forest	TRUE	14	1	NA	NA	0
vegetation management - other - grassland	FALSE	8	0.5	NA	NA	1
vegetation management - other - grassland	TRUE	4	0.5	NA	NA	1
vegetation management - other - invasive plant control	FALSE	18	0.5	NA	NA	3
vegetation management - other - invasive plant control	TRUE	6	0.5	NA	NA	1
vegetation management - other - other	FALSE	10	0.5	NA	NA	0
vegetation management - other - other	TRUE	5	0.5	NA	NA	2
vegetation management - other - wetland	FALSE	16	0.5	NA	NA	3
vegetation management - other - wetland	TRUE	5	0.5	NA	NA	0
vegetation management - pesticide / chemical	FALSE	38	0.5	0	0.5	3
vegetation management - pesticide / chemical	TRUE	8	0.5	0	0.5	2
vegetation management - pesticide / chemical - forest	FALSE	3	1	0	0.5	0
vegetation management - pesticide / chemical - forest	TRUE	3	1	0	0.5	1
vegetation management - pesticide / chemical - grassland	FALSE	2	0.5	0	0.5	1
vegetation management - pesticide / chemical - grassland	TRUE	3	0.5	0	0.5	0
vegetation management - pesticide / chemical - invasive plant control	FALSE	22	0.5	0	0.5	2
vegetation management - pesticide / chemical - invasive plant control	TRUE	14	0.5	0	0.5	3
wastewater facility	FALSE	421	0.5	0.5	0.5	8
wastewater facility	TRUE	555	0.5	0.5	0.5	13
wastewater facility - maintenance / modification / replacement / upgrade	FALSE	372	0.5	0	0.5	3
wastewater facility - maintenance / modification / replacement / upgrade	TRUE	291	0.5	0	0.5	6
wastewater facility - new construction	FALSE	79	1	1	1	0
wastewater facility - new construction	TRUE	107	1	1	1	5
wastewater facility - plant operations	FALSE	14	0	NA	0	0
wastewater facility - plant operations	TRUE	9	0	NA	0	2
wastewater pipeline	FALSE	205	0.5	0.5	0.5	7
wastewater pipeline	TRUE	360	0.5	0.5	0.5	10
wastewater pipeline - maintenance / modification / replacement / upgrade - below ground	FALSE	303	0	0	0.5	1
wastewater pipeline - maintenance / modification / replacement / upgrade - below ground	TRUE	311	0	0	0.5	3
wastewater pipeline - new construction - above ground	FALSE	13	1	0.5	1	0
wastewater pipeline - new construction - above ground	TRUE	18	1	0.5	1	2
wastewater pipeline - new construction - below ground	FALSE	207	0	0	0.5	1
wastewater pipeline - new construction - below ground	TRUE	296	0	0	0.5	11
water quality modification	FALSE	176	0	0	0	4
water quality modification	TRUE	46	0	0	0	3
water quality modification - stormwater discharge	FALSE	205	0	0	0	1
water quality modification - stormwater discharge	TRUE	151	0	0	0	7
water quality modification - stormwater discharge with npdes permit	FALSE	276	0	0	0	1
water quality modification - stormwater discharge with npdes permit	TRUE	54	0	0	0	1
water quality modification - wastewater discharge	FALSE	49	0	0	0	6
water quality modification - wastewater discharge	TRUE	48	0	0	0	2
water supply / delivery	FALSE	523	0.5	NA	0.5	41
water supply / delivery	TRUE	404	0.5	NA	0.5	25
water supply facility	FALSE	63	0.5	0.5	0.5	11
water supply facility	TRUE	35	0.5	0.5	0.5	6
water supply facility - desalination plant operations	FALSE	2	0	NA	0	0
water supply facility - desalination plant operations	TRUE	9	0	NA	0	1
water supply facility - diversions	FALSE	7	0.5	1	0.5	4
water supply facility - diversions	TRUE	17	0.5	1	0.5	5
water supply facility - maintenance / modification / replacement / upgrade	FALSE	311	0.5	0	0.5	17
water supply facility - maintenance / modification / replacement / upgrade	TRUE	168	0.5	0	0.5	7
water supply facility - new construction	FALSE	102	1	1	1	7
water supply facility - new construction	TRUE	89	1	1	1	1
water supply facility - withdrawal - groundwater	FALSE	19	0	NA	NA	6
water supply facility - withdrawal - groundwater	TRUE	14	0	NA	NA	2
water supply facility - withdrawal - surface	FALSE	10	0	NA	NA	2
water supply facility - withdrawal - surface	TRUE	14	0	NA	NA	3
water supply pipeline	FALSE	118	0.5	0.5	0.5	18
water supply pipeline	TRUE	187	0.5	0.5	0.5	22
water supply pipeline - maintenance / modification / replacement / upgrade - above ground	FALSE	14	0.5	0.5	0.5	2
water supply pipeline - maintenance / modification / replacement / upgrade - above ground	TRUE	22	0.5	0.5	0.5	0
water supply pipeline - maintenance / modification / replacement / upgrade - below ground	FALSE	222	0	0	0	8
water supply pipeline - maintenance / modification / replacement / upgrade - below ground	TRUE	222	0	0	0	8
water supply pipeline - new construction - above ground	FALSE	16	0.5	0.5	0.5	1
water supply pipeline - new construction - above ground	TRUE	22	0.5	0.5	0.5	1
water supply pipeline - new construction - below ground	FALSE	203	0	0	0	8
water supply pipeline - new construction - below ground	TRUE	225	0	0	0	3
water withdrawal / depletion	FALSE	125	0	0	0	100
water withdrawal / depletion	TRUE	67	0	0	0	2
waterbody acquisition	FALSE	2	0	0	0	1
waterbody acquisition	TRUE	0	0	0	0	0
waterbody creation	FALSE	18	1	1	1	6
waterbody creation	TRUE	5	1	1	1	2
waterbody drainage	FALSE	5	0.5	1	0.5	0
waterbody drainage	TRUE	6	0.5	1	0.5	1
waterbody easement / right-of-way	FALSE	3	0	0	0	1
waterbody easement / right-of-way	TRUE	1	0	0	0	0
waterbody flooding / overfill	FALSE	6	0	0.5	0.5	0
waterbody flooding / overfill	TRUE	4	0	0.5	0.5	1
waterbody preservation	FALSE	7	0	1	0	1
waterbody preservation	TRUE	6	0	1	0	1
waterbody restoration / enhancement	FALSE	46	0.5	0.5	0.5	13
waterbody restoration / enhancement	TRUE	49	0.5	0.5	0.5	8
