Estimate	Std..Error	z.value	Pr...z..	ESO
-0.564878877911295	0.531178740745997	-1.06344406238467	0.287580619764815	ESOfficeNEVADA FISH AND WILDLIFE OFFICE:formal_consultYes
3.73128179519944	0.886257591538718	4.21015496038934	2.55195590877752e-05	ESOfficeNEW ENGLAND ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
-2.30827401406397	0.686748482863989	-3.36116361617231	0.000776148335812211	ESOfficeNEW JERSEY ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
-0.433667279223713	0.735257146481277	-0.589817156214143	0.555313239419422	ESOfficeNEW MEXICO ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
-1.29024406137474	1.2050619389589	-1.0706869245986	0.284310223928788	ESOfficeNEW YORK ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
-9.34837211279067	979.610412137802	-0.00954294890801512	0.992385943967922	ESOfficeNORTH DAKOTA ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
-0.280006351484518	0.525387675367841	-0.532951884127232	0.594066888023189	ESOfficeNORTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
-0.539244693608619	0.596877144346543	-0.903443361362044	0.366290635451032	ESOfficeOKLAHOMA ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
0.0486886367488127	0.574461689913779	0.0847552371266399	0.93245598102926	ESOfficeOREGON FISH AND WILDLIFE OFFICE:formal_consultYes
0.642419005921051	0.547517607068248	1.17333031418106	0.240663370334362	ESOfficePACIFIC ISLANDS FISH AND WILDLIFE OFFICE:formal_consultYes
-1.21872031483998	0.582654840489869	-2.0916677081329	0.0364682510884928	ESOfficePANAMA CITY ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
-0.186904946166724	0.79965584459384	-0.233731732757679	0.815193250821776	ESOfficePENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
-0.0107484043906785	0.71878881974142	-0.0149534941216048	0.988069282543935	ESOfficeRALEIGH ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
0.472710536063491	0.961064553168828	0.491861378619018	0.622817342522691	ESOfficeRED BLUFF FISH AND WILDLIFE OFFICE:formal_consultYes
0.641738592492817	0.897301974534179	0.71518687209617	0.474493579863066	ESOfficeROCK ISLAND ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
-0.177241404076216	0.518161736250828	-0.342058071208907	0.732307190571315	ESOfficeSACRAMENTO FISH AND WILDLIFE OFFICE:formal_consultYes
-0.607435318763278	0.98553987326826	-0.616347785857607	0.537665006616212	ESOfficeSAN FRANCISCO BAY - DELTA FISH AND WILDLIFE:formal_consultYes
-0.52331819349273	0.683175968995118	-0.766007906077957	0.443671597967546	ESOfficeSOUTH CAROLINA ECOLOGICAL SERVICES:formal_consultYes
0.213946127647485	0.576506925103768	0.371107645600226	0.710557356647419	ESOfficeSOUTH DAKOTA ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
0.355899790225845	0.568391951553833	0.626152058017199	0.531215209466996	ESOfficeSOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
1.16121733706633	0.985329330409206	1.1785068212514	0.238594614554845	ESOfficeSOUTHWESTERN VIRGINIA ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
-0.399724440092231	0.579902595685631	-0.689295828413439	0.490637122587223	ESOfficeTENNESSEE ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
0.375546786588934	459.135592726869	0.000817943092493679	0.999347375907655	ESOfficeTWIN CITIES ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
-2.07545831050242	1.16518779190749	-1.78122215570485	0.0748761655799663	ESOfficeUPPER COLUMBIA RIVER FISH AND WILDLIFE OFFICE:formal_consultYes
0.425782177844128	0.557334861050105	0.763961143650495	0.444890398438296	ESOfficeUTAH ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
0.305217070509304	0.526683476715222	0.579507586630319	0.562246729031548	ESOfficeVENTURA FISH AND WILDLIFE OFFICE:formal_consultYes
-1.73404779224016	0.769146181832504	-2.25451004399289	0.0241640995207122	ESOfficeVIRGINIA ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
-0.375482039011388	0.757367376246057	-0.495772660386417	0.620054815968919	ESOfficeWASHINGTON FISH AND WILDLIFE OFFICE:formal_consultYes
0.375546787535441	759.481241123322	0.000494478029477046	0.999605463630702	ESOfficeWEST VIRGINIA ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
0.411846971328831	0.652614447905951	0.631072408296088	0.527993181095568	ESOfficeWESTERN COLORADO ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
16.1306849945901	2399.54484665618	0.00672239363105409	0.99463634630794	ESOfficeWESTERN WASHINGTON FISHERIES RESOURCE OFFICE:formal_consultYes
-0.290844770195732	0.553328293766983	-0.525627865901635	0.599146791535842	ESOfficeWYOMING ECOLOGICAL SERVICES FIELD OFFICE:formal_consultYes
-14.4559205795881	1073.10919849311	-0.0134710620316064	0.98925197266156	ESOfficeYREKA FISH AND WILDLIFE OFFICE:formal_consultYes
